Pressure (psi),PI (psi/bbl),Initial Watercut (%),GOR (scf/stb),Temperature Res. (F),ID tubing (in),FTP(Flowing Tubing Pressure) (psig),Killing Fluid (psi/),Max CHP (Psig),Gas Gravity,API,Depth of Reservoir,Depth of Tubing,Max Depth Injection,AOF (STB/d),Max Oil Rate (STB/d),Injected Gas Rate (MMscf/D),Injection Pressure (psig),Liquid rate (STB/d)
527.12,1.749,24.96,223.295,172.57,2.451446775,94.88,0.404,685.61,0.914,45.527,3409,2702,2642,538.2,323.221,0.2758,610.614,430.731
527.23,2.089,18.2,226.229,171.29,2.425314126,113.71,0.452,692.5,1.127,43.571,3101,2713,2653,623.6,413.245,0.60211,567.498,505.164
529.32,2.104,20.99,251.532,178.71,2.531022155,99.96,0.474,688.93,0.865,44.902,3463,2784,2724,632.8,405.903,0.3336,563.93,513.736
529.7,1.739,20.11,208.072,170.84,2.3922582,103.4,0.321,688.35,0.938,44.343,3057,2667,2607,522.8,303.465,0.031672,613.315,379.853
529.89,1.864,18.08,249.355,174.71,2.40923405,100.31,0.419,692.5,1.035,42.834,3067,2852,2792,558.8,367.136,0.26657,567.501,448.164
530.09,1.644,29.9,240.438,173.93,2.470122427,101.9,0.519,682.27,0.932,45.553,3358,2746,2686,501.4,292.271,0.50732,557.268,416.94
533.29,2.251,23.28,248.528,171.21,2.505186731,100.37,0.446,681.11,0.873,45.467,3314,2611,2551,683.9,433.298,0.5052,606.109,564.771
533.98,0.805,14.89,203.733,179.41,2.304668141,99.85,0.604,678.11,1.007,45.726,3279,2660,2600,242.2,172.035,0.55585,553.108,202.125
534.19,0.962,8.15,247.036,170.79,2.6937237,100.09,0.485,694.47,0.921,42.716,3396,2897,2837,287.3,225.376,0.52803,569.472,245.369
537.92,1.199,30.89,230.114,178.44,2.348854841,100.05,0.497,688.45,0.882,47.686,3176,2727,2667,371.9,218.866,0.1051,563.449,316.692
539.13,1.616,25,208.819,174.45,2.450721024,101.47,0.389,685.84,0.848,45.825,3328,2757,2697,497.6,311.681,0.49615,610.835,415.564
541.46,1.951,16.81,230.143,179.11,2.634680307,100.52,0.367,693.09,0.71,47.942,3235,2707,2647,597.1,380.689,0.041141,618.088,457.614
541.74,2.247,12.67,239.492,176.04,2.463924734,98.02,0.597,680.76,0.801,46.134,3098,2770,2710,684.4,500.55,0.42907,505.757,573.144
541.83,1.839,25.8,210.035,169.92,2.430325144,93.11,0.555,690.17,0.837,44.788,3188,2731,2671,570.1,357.111,0.4513,565.174,481.281
541.85,1.579,26.45,223.274,177.26,2.607593477,101.69,0.507,698.63,0.974,46.875,3303,2759,2699,489.7,302.423,0.49709,573.634,411.181
542.33,2.339,17.72,215.279,176.05,2.316687921,106.09,0.395,683.45,0.881,46.693,3400,2714,2654,717.5,483.588,0.49732,608.454,587.664
544.21,1.15,25.11,216.196,173.62,2.509147833,102.21,0.492,688.1,0.826,44.319,3235,2840,2780,357.7,226.19,0.4894,563.097,302.018
544.35,1.888,15.26,241.194,174.84,2.377463865,101.38,0.334,687.4,0.885,44.403,3079,2545,2485,579.8,374.599,0.043011,612.402,442.036
545.02,1.28,22.21,228.014,176.55,2.515790513,94.18,0.161,698.03,0.835,47.934,3349,2565,2505,391.5,230.193,0.033544,664.026,295.917
545.41,1.096,22.5,260.281,170.44,2.474033265,94,0.387,689.57,0.867,45.133,3171,2565,2505,152.9,69.0635,0.79445,614.566,89.1119
547.18,1.625,14.08,208.598,172.86,2.448719694,100.18,0.423,693.98,0.782,44.04,3352,2669,2609,501,359.212,0.50313,618.977,418.077
547.76,1.718,19.51,229.61,175.61,2.487743609,102.94,0.388,683.95,0.927,46.623,3280,2716,2656,533.5,321.028,0.02192,608.85,398.857
548.02,1.51,7.06,219.185,175.07,2.297552345,101.12,0.398,691.99,0.972,45.845,3112,2744,2684,462.3,329.124,0.047237,616.987,354.114
548.1,2.107,20.04,218.302,175.03,2.458955153,99.04,0.327,689.1,0.959,41.824,3049,2740,2680,655.1,438.028,0.46089,614.102,547.809
549.23,1.578,11.26,238.331,175.51,2.452786708,94.03,0.401,695.88,0.902,41.421,3306,2747,2687,486.8,365.748,0.45115,620.881,412.134
549.82,1.555,26.82,219.335,171.29,2.36380764,102.5,0.4,684.75,0.801,41.173,3183,2760,2700,489.5,298.992,0.49475,609.752,408.581
549.91,2.336,14.29,222.989,179.15,2.421333044,99.5,0.283,686.43,0.917,41.791,3106,2823,2763,723.9,517.388,0.41618,611.432,603.65
549.95,0.531,16.52,225.319,174.25,2.459580783,97,0.57,683.9,0.814,44.792,3262,2520,2460,165,115.55,0.50927,558.91,138.41
